category,metric,scale,value,available,notes
dW,sample_count,,2,True,sampled gradient coordinates
dW,norm_first_minus_fd,,1.8674667958876875e-08,True,
dW,norm_frechet_minus_fd,,2.14938671816217e-10,True,
dW,norm_first_minus_frechet,,1.8762706056130474e-08,True,
dW,relative_first_minus_fd,,1.8674667958876875e-08,True,
dW,relative_frechet_minus_fd,,2.14938671816217e-10,True,
V,relative_fro_mean,,0.02708586640940668,True,
V,relative_fro_median,,0.025813285540997526,True,
V,relative_fro_max,,0.07079788209561992,True,
V,relative_spectral_mean,,0.03213956933173784,True,
V,relative_spectral_max,,0.07594720608603547,True,
V,fidelity_leading,,0.295644696365955,True,
V,fidelity_frechet,,0.2957433357237084,True,
V,fidelity_leading_minus_frechet,,-9.863935775344945e-05,True,
truncation,perturbative_fidelity,0.5,0.22458433040769843,True,
truncation,mc_exact_fidelity,0.5,0.21156127195845875,True,
truncation,perturbative_minus_mc,0.5,0.013023058449239677,True,
truncation,abs_perturbative_minus_mc,0.5,0.013023058449239677,True,
truncation,perturbative_fidelity,1.0,0.295644696365955,True,
truncation,mc_exact_fidelity,1.0,0.240906879636863,True,
truncation,perturbative_minus_mc,1.0,0.054737816729091976,True,
truncation,abs_perturbative_minus_mc,1.0,0.054737816729091976,True,
